Ident,Type,Name,Elevation_ft,Continent,Iso_country,Iso_region,Municipality,Gps_code,Local_code,Coordinates
RU-0260,heliport,Bakovka Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOW,Moscow,RU-0260,RU-0260,"37.333753109, 55.682744247799995"
RU-0261,heliport,Golitsyno Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Golitsyno,RU-0261,RU-0261,"36.8873906136, 55.5770953068"
RU-0262,heliport,Anino Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOW,Moscow,RU-0262,RU-0262,"37.586331367499994, 55.5854762102"
RU-0263,heliport,MKAD 35 Kilometr Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOW,Moscow,RU-0263,RU-0263,"37.572743296599995, 55.5818226716"
RU-0264,heliport,Alabino Helipad,614.0,EU,RU,RU-MOS,Moscow,RU-0264,RU-0264,"36.9638442993, 55.5358682297"
RU-0268,heliport,Ogaryovo Heliport,429.0,EU,RU,RU-MOS,Moscow,RU-0268,RU-0268,"37.208657, 55.740609"
RU-0269,heliport,Gorki-9 Heliport,446.0,EU,RU,RU-MOS,Moscow,RU-0269,RU-0269,"37.130055, 55.727494"
RU-0270,heliport,Crocus Expo Helipad,411.0,EU,RU,RU-MOS,Krasnogorsk,RU-0270,RU-0270,"37.384396, 55.822586"
RU-0271,heliport,City Children's Clinical Hospital No.9 Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOW,Moscow,RU-0271,RU-0271,"37.5390440226, 55.755484071599994"
RU-0272,heliport,Belaya Dacha Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Kotelniki,RU-0272,RU-0272,"37.8673732281, 55.6550134703"
RU-0273,heliport,Sofrino Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Sofrino,RU-0273,RU-0273,"37.9261350632, 56.1551591134"
RU-0274,heliport,Vlasikha Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Vlasikha,RU-0274,RU-0274,"37.1829593182, 55.6835124185"
RU-0275,closed,MKAD 63 Kilometr Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOW,Moscow,RU-0275,RU-0275,"37.3722910881, 55.7904882502"
RU-0276,small_airport,Oyok Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-IRK,Irkutsk,RU-0276,RU-0276,"104.45, 52.551"
